Latitude	Longitude	Name	Dome Camera	Button Camera	Police Box	Notes	Region	URL
42.3554516	-71.0725017	Beacon and Arlington 1	1				Beacon Hill	https://www.google.com/maps/@42.3554516,-71.0725017,3a,75y,342.09h,104.52t/data=!3m6!1e1!3m4!1sCUcGL8ZwuBN27heKyKSfPA!2e0!7i16384!8i8192
42.3518475	-71.0707818	Boylston and Arlington	1				Beacon Hill	https://www.google.com/maps/@42.3518475,-71.0707818,3a,75y,165.5h,94.09t/data=!3m6!1e1!3m4!1sfy57mWLlZWEpT_CyOi22qw!2e0!7i16384!8i8192
42.3547239	-71.0682914	Boston Common 1	1				Beacon Hill	https://www.google.com/maps/@42.3547239,-71.0682914,2a,75y,76.33h,95.58t/data=!3m6!1e1!3m4!1sODDBMekFbKLd-XdZ7MAoAQ!2e0!7i13312!8i6656
42.3559317	-71.0685546	Boston Common 2	1				Beacon Hill	https://www.google.com/maps/@42.3559317,-71.0685546,2a,75y,216.06h,89.06t/data=!3m7!1e1!3m5!1sdh4XdpOwJkz2Rved91WCqA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3Ddh4XdpOwJkz2Rved91WCqA%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D316.6263%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656
42.3563978	-71.0677062	Boston Common 3	2				Beacon Hill	https://www.google.com/maps/@42.3563978,-71.0677062,2a,43.5y,168.52h,83.84t/data=!3m6!1e1!3m4!1seRKNxSf5h1SJKzs5UboJRw!2e0!7i13312!8i6656
42.3549372	-71.0669559	Boston Common 4	1				Beacon Hill	https://www.google.com/maps/@42.3549372,-71.0669559,2a,75y,190.04h,75.86t/data=!3m6!1e1!3m4!1sDQClwlIVp0P5-tdgrYJchg!2e0!7i13312!8i6656
42.359464	-71.0628335	Bowdoin	1				Beacon Hill	https://www.google.com/maps/@42.359464,-71.0628335,3a,15y,50.51h,104.58t/data=!3m6!1e1!3m4!1sx3V_8utqwtcQsEEc3dWqpw!2e0!7i16384!8i8192
42.349607	-71.079537	Boylston and Exeter		1	1		Back Bay	https://www.google.com/maps/@42.349607,-71.079537,3a,41.6y,22.62h,110.69t/data=!3m6!1e1!3m4!1sJtsMIoupOYxwdg4xhJKL7g!2e0!7i16384!8i8192
42.3507254	-71.075039	Boylston and Clarendon	1		1		Back Bay	https://www.google.com/maps/@42.3507254,-71.075039,3a,24.4y,169.41h,96.35t/data=!3m7!1e1!3m5!1sG5x1XMF56acsumUZJpjEsQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DG5x1XMF56acsumUZJpjEsQ%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D48.971115%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192
42.35128	-71.0729844	Boylston and Berkeley	1				Back Bay	https://www.google.com/maps/@42.3512696,-71.0730661,3a,24.1y,298.99h,92.1t/data=!3m7!1e1!3m5!1sVVY6FWq1Boo-uxwYmeleHA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DVVY6FWq1Boo-uxwYmeleHA%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D77.55176%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192
42.3479728	-71.0852456	Boylston and Hereford		1	1		Back Bay	https://www.google.com/maps/@42.3479728,-71.0852456,3a,20.5y,231.36h,106.12t/data=!3m6!1e1!3m4!1sUkeINuDhsqjRTyG5YspC1A!2e0!7i16384!8i8192
42.3491329	-71.0886597	Mass Ave and Commonwealth Ave	1				Back Bay	https://www.google.com/maps/@42.3491329,-71.0886597,3a,29.2y,306.44h,103.83t/data=!3m7!1e1!3m5!1s6S9NYe1eeE6zjmdpePdeIg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3D6S9NYe1eeE6zjmdpePdeIg%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D61.616%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192
42.3662993	-71.0676405	Leverett and Nashua	1				West End	https://www.google.com/maps/@42.3662993,-71.0676405,3a,15y,345.35h,96.99t/data=!3m6!1e1!3m4!1sYbVIL6oyGJ_HXaG0tcdVDQ!2e0!7i16384!8i8192
42.3655405	-71.0646736	Martha and Nashua	1				West End	https://www.google.com/maps/@42.3655405,-71.0646736,3a,37.5y,116.45h,106.14t/data=!3m6!1e1!3m4!1sFg3h4fj0DTdX9XBSxRIVLw!2e0!7i16384!8i8192
42.3642999	-71.0634464	Staniford and Lomasney	2	1	1		West End	https://www.google.com/maps/@42.3642999,-71.0634464,3a,58.5y,298.96h,107.67t/data=!3m6!1e1!3m4!1scjyHJtQKav5XQu8I8AZt9A!2e0!7i16384!8i8192
42.3638619	-71.0631486	Staniford and Merrimac	1				West End	https://www.google.com/maps/@42.3638619,-71.0631486,3a,15y,330.49h,100.4t/data=!3m6!1e1!3m4!1sHDBsrrdE9BCbRVBluTP_wQ!2e0!7i16384!8i8192
42.3629823	-71.0599615	New Chardon and Merrimac	1				West End	https://www.google.com/maps/@42.3629823,-71.0599615,3a,39.4y,141.35h,104.69t/data=!3m6!1e1!3m4!1s1Xld8wFyF0RUew0FcyQTTA!2e0!7i16384!8i8192
42.3523674	-71.0736231	Berkeley	1		1		Back Bay	https://www.google.com/maps/@42.3523674,-71.0736231,3a,40.4y,48.08h,101.34t/data=!3m6!1e1!3m4!1sEFv_wFetvZWV99RA6_ADhA!2e0!7i16384!8i8192
42.350811	-71.0894824	Beacon and Mass Ave	1				Back Bay	https://www.google.com/maps/@42.350811,-71.0894824,3a,33.5y,188.28h,109.44t/data=!3m6!1e1!3m4!1sGURUeJYZGW70S7EoUMXawg!2e0!7i16384!8i8192
